KEY	sensEnto	resitEnto	sensDauno	resDauno	relSoraf	diagSoraf	sensEnto1	sensDauno1	resSoraf1	resEnto1	resDauno1	diagSoraf1
ENSG00000175873.3	38	11	19	58	0	342	22	240	574	16	101	342
ENSG00000175898.4	67	15	46	106	0	0	42	208	0	11	106	0
ENSG00000175967.3	0	0	0	0	0	1	0	0	6	0	0	1
ENSG00000176075.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176320.2	0	0	0	5	2	0	1	0	0	0	4	0
ENSG00000176395.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176728.3	43	41	0	0	0	0	29	0	0	56	0	0
ENSG00000176734.3	0	0	0	0	0	8	0	0	0	0	0	8
ENSG00000176754.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176840.7	0	0	0	2	0	0	0	0	0	1	0	0
ENSG00000177112.3	1	1	0	12	0	22	0	2	39	0	6	22
ENSG00000177133.6	1	2	0	0	638	762	2	0	1259	1	0	762
ENSG00000177337.3	1	0	26	660	0	0	1	126	1	1	350	0
ENSG00000177338.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177369.4	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177406.4	245	55	41	1110	0	614	204	225	924	79	882	614
ENSG00000177410.8	4155	1778	945	12432	1	0	2971	6861	6	2291	8982	0
ENSG00000177553.6	0	1	1	1	0	0	0	1	2	0	2	0
ENSG00000177640.11	20	8	13	90	0	108	31	76	210	15	134	108
ENSG00000177699.4	10	1	0	1	0	31	4	0	0	2	7	31
ENSG00000177738.3	96	68	28	191	0	310	92	128	689	79	139	310
ENSG00000177757.1	1	1	0	11	18	23	3	11	73	1	17	23
ENSG00000177788.5	28	27	49	151	50	28	25	147	44	28	147	28
ENSG00000177822.3	0	0	0	0	0	2	0	0	0	0	0	2
ENSG00000177853.10	2280	591	816	5413	0	6024	2102	4844	8220	1132	4724	6024
ENSG00000177993.3	1	0	0	21	0	0	0	2	0	0	13	0
ENSG00000178107.2	0	0	0	20	0	0	0	0	0	0	6	0
ENSG00000178130.8	0	0	1	10	0	0	0	10	0	0	52	0
ENSG00000178193.5	0	1	0	0	0	4	0	0	2	0	1	4
ENSG00000178248.10	0	0	0	5	0	0	0	0	0	0	1	0
ENSG00000178412.4	6	1	4	30	0	0	1	14	0	2	12	0
ENSG00000178440.5	46	25	42	115	0	148	32	165	192	20	134	148
ENSG00000178457.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000178803.6	12	3	2	1	0	0	11	21	0	6	29	0
ENSG00000178947.8	20	8	2	20	0	0	11	8	0	8	5	0
ENSG00000178977.3	77	37	4	26	0	0	71	9	0	41	12	0
ENSG00000179082.3	3	1	0	0	0	17	2	0	23	0	0	17
ENSG00000179136.2	2	0	0	0	0	0	0	0	0	0	1	0
ENSG00000179141.5	3	0	0	3	0	1	2	0	0	2	0	1
ENSG00000179219.5	5	0	3	4	0	0	0	11	0	0	7	0
ENSG00000179406.6	109	102	59	318	0	132	85	300	307	121	245	132
